aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
-182.619995, 0.000000, 994.630005, -1.850000, 0.990000, -2.310000, 11.400000, -19.799999, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.009995, -7.320000, 991.700012, -2.650000, 0.470000, -0.350000, 10.800000, -20.700001, 15.900000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -9.280000, 994.140015, -1.040000, 1.370000, -1.920000, 11.100000, -20.100000, 17.850000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -12.700000, 1000.000000, 0.150000, -2.390000, 2.790000, 11.550000, -21.450001, 14.700000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, 4.880000, 1006.840027, 0.790000, -4.980000, 1.120000, 10.050000, -19.650000, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-195.309998, -4.390000, 987.789978, -1.790000, -2.690000, -0.630000, 9.750000, -20.400000, 15.150000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-192.869995, 6.840000, 1002.440002, -1.020000, -2.260000, -0.530000, 10.650000, -20.100000, 16.350000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -6.350000, 997.559998, -1.460000, -1.970000, 1.730000, 9.900000, -21.000000, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -8.300000, 1008.299988, -2.880000, -0.350000, -1.560000, 10.500000, -20.400000, 15.900000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.960007, -11.230000, 998.539978, -2.790000, -2.930000, -0.920000, 12.000000, -19.950001, 16.500000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.059998, 4.880000, 992.679993, 0.380000, -3.110000, -1.810000, 11.250000, -20.700001, 14.700000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-200.199997, -7.320000, 999.510010, -1.500000, -2.990000, -0.840000, 10.650000, -20.549999, 16.049999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, 14.650000, 990.719971, 0.150000, -1.630000, 3.760000, 10.800000, -19.650000, 15.450000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-191.889999, -5.370000, 992.190002, -0.330000, 0.050000, -1.260000, 9.300000, -19.950001, 15.900000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-173.830002, -4.390000, 985.840027, -1.690000, -0.190000, 0.330000, 11.250000, -19.950001, 15.450000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-198.240005, -0.980000, 990.719971, -2.980000, -0.830000, -1.790000, 10.500000, -19.950001, 15.450000, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -1.460000, 997.070007, 0.750000, -2.330000, 2.240000, 11.250000, -21.150000, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.179993, -7.810000, 1008.789978, -0.440000, -0.480000, -0.420000, 11.100000, -19.799999, 15.600000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, -5.860000, 995.119995, -0.080000, -2.440000, 2.270000, 11.100000, -20.100000, 16.799999, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-192.380005, -15.140000, 992.679993, -0.600000, -3.510000, -1.810000, 12.150000, -20.100000, 15.600000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.179993, 4.880000, 988.770020, -3.140000, -0.270000, -1.620000, 11.250000, -21.450001, 15.450000, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.660004, -5.370000, 986.820007, -2.400000, -0.720000, 0.580000, 10.800000, -20.400000, 16.200001, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-174.320007, 1.950000, 998.539978, -0.270000, -0.280000, -1.690000, 11.850000, -21.000000, 15.600000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, -2.440000, 1009.770020, 0.920000, -2.250000, 0.080000, 11.100000, -21.750000, 17.100000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.009995, 3.420000, 985.840027, 0.080000, -1.280000, -0.880000, 11.850000, -19.350000, 16.350000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, -5.860000, 991.210022, -0.020000, -3.370000, 0.310000, 11.550000, -20.400000, 15.900000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, 6.350000, 990.719971, -1.830000, -0.870000, 0.110000, 10.800000, -20.400000, 16.200001, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.990005, 0.980000, 982.419983, -1.760000, 0.320000, -2.980000, 11.100000, -21.299999, 16.350000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -7.320000, 1000.000000, -2.630000, 0.130000, -2.980000, 10.650000, -21.000000, 16.049999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-181.149994, -13.180000, 1002.440002, -0.150000, 0.240000, 0.820000, 11.400000, -20.100000, 16.049999, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-169.919998, 2.440000, 996.090027, -1.800000, -3.730000, 0.050000, 12.000000, -19.950001, 15.150000, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, -4.880000, 998.049988, -0.760000, -4.070000, 0.890000, 11.100000, -20.549999, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.179993, -6.350000, 987.789978, -1.630000, -0.620000, 1.470000, 9.600000, -20.100000, 17.549999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-191.889999, 11.720000, 990.229980, -2.560000, -0.930000, -2.420000, 11.250000, -20.400000, 16.500000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, -4.880000, 979.489990, -3.230000, -1.290000, -0.630000, 9.750000, -20.700001, 15.900000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
