aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
, , , , , , , , , , aX, aY, 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , -134.28, -42.48, -0.000099, -0.000000, -1.430000, 1, 26, -2.250000, -57.750000, 31.379999, unknown, unknown
, , , , , , , , , , -130.37, -65.43, -0.000099, -0.000000, -3.450000, 0, 25, -0.150000, -58.650002, 31.480000, unknown, unknown
, , , , , , , , , , -127.93, -45.41, -0.000099, -0.000000, -2.290000, 1, 26, -1.800000, -58.049999, 31.379999, unknown, unknown
, , , , , , , , , , -132.81, -55.18, -0.000099, -0.000000, -1.950000, 0, 26, -1.650000, -57.450001, 31.580000, unknown, unknown
, , , , , , , , , , -119.14, -61.52, -0.000099, -0.000000, -0.260000, 1, 26, -1.650000, -58.200001, 31.000000, unknown, unknown
, , , , , , , , , , -141.60, -64.45, -0.000099, -0.000000, 0.080000, -2, 25, -1.500000, -58.799999, 31.530001, unknown, unknown
, , , , , , , , , , -144.53, -47.85, -0.000101, -0.000000, 0.630000, 0, 26, -1.500000, -59.549999, 31.580000, unknown, unknown
, , , , , , , , , , -137.70, -46.39, -0.000098, -0.000000, -0.980000, 1, 26, -1.800000, -59.099998, 31.670000, unknown, unknown
, , , , , , , , , , -144.04, -46.39, -0.000100, 0.000000, -1.660000, 2, 27, -1.050000, -59.549999, 31.240000, unknown, unknown
, , , , , , , , , , -130.86, -40.04, -0.000100, -0.000000, 0.890000, 0, 24, -1.050000, -58.500000, 31.379999, unknown, unknown
, , , , , , , , , , -144.53, -51.27, -0.000099, -0.000000, -1.010000, 0, 25, -0.300000, -59.099998, 31.670000, unknown, unknown
, , , , , , , , , , -128.42, -50.78, -0.000098, -0.000000, 1.760000, 1, 25, -1.500000, -59.549999, 31.379999, unknown, unknown
, , , , , , , , , , -132.81, -47.85, -0.000100, -0.000000, -1.270000, -1, 25, -2.250000, -58.049999, 31.190001, unknown, unknown
, , , , , , , , , , -146.00, -53.22, -0.000101, 0.000000, -4.720000, -2, 25, -1.800000, -58.500000, 31.480000, unknown, unknown
, , , , , , , , , , -139.16, -46.88, -0.000099, -0.000000, -1.810000, -1, 26, -0.750000, -59.849998, 31.670000, unknown, unknown
, , , , , , , , , , -131.35, -50.78, -0.000099, 0.000000, -1.330000, 4, 26, -1.650000, -57.900002, 31.530001, unknown, unknown
, , , , , , , , , , -127.93, -45.90, -0.000100, -0.000000, -0.820000, -1, 25, -1.050000, -58.500000, 31.670000, unknown, unknown
, , , , , , , , , , -129.39, -39.06, -0.000100, -0.000000, -3.340000, 1, 25, -2.250000, -59.099998, 31.670000, unknown, unknown
, , , , , , , , , , -130.37, -48.34, -0.000099, 0.000000, -1.360000, 1, 25, -0.750000, -60.599998, 31.580000, unknown, unknown
, , , , , , , , , , -136.72, -48.83, -0.000099, -0.000000, 0.600000, -1, 24, -0.300000, -58.500000, 31.719999, unknown, unknown
, , , , , , , , , , -137.70, -57.62, -0.000100, -0.000000, 2.470000, -2, 25, -0.900000, -57.900002, 31.240000, unknown, unknown
, , , , , , , , , , -124.51, -40.53, -0.000099, -0.000000, -1.560000, 0, 26, -0.300000, -58.049999, 31.480000, unknown, unknown
, , , , , , , , , , -137.70, -39.55, -0.000100, -0.000000, 1.760000, 0, 26, -1.650000, -58.950001, 31.719999, unknown, unknown
, , , , , , , , , , -141.11, -63.48, -0.000100, 0.000000, -0.740000, 1, 26, -0.150000, -58.950001, 31.670000, unknown, unknown
, , , , , , , , , , -131.84, -42.97, -0.000098, -0.000000, -1.520000, 2, 25, -2.250000, -59.549999, 31.139999, unknown, unknown
, , , , , , , , , , -130.86, -44.92, -0.000098, -0.000000, -0.810000, 0, 25, -1.800000, -59.849998, 31.530001, unknown, unknown
, , , , , , , , , , -126.46, -57.62, -0.000099, -0.000000, -0.130000, 0, 25, -2.250000, -58.799999, 31.670000, unknown, unknown
, , , , , , , , , , -139.65, -58.11, -0.000100, -0.000000, 0.110000, 0, 24, -2.250000, -58.049999, 31.670000, unknown, unknown
, , , , , , , , , , -143.07, -67.38, -0.000100, -0.000000, -4.660000, 0, 24, -0.900000, -58.650002, 31.379999, unknown, unknown
, , , , , , , , , , -142.09, -46.39, -0.000099, -0.00
