aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
, , , , , , , , , , aX, aY, 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , -117.19, -47.85, -0.000100, 0.000000, 0.230000, 0, 28, -2.400000, -58.200001, 31.530001, unknown, unknown
, , , , , , , , , , -144.53, -56.64, -0.000099, -0.000000, -0.500000, 0, 27, -1.650000, -58.200001, 31.530001, unknown, unknown
, , , , , , , , , , -137.21, -51.27, -0.000100, -0.000000, -0.530000, 0, 28, -2.550000, -57.750000, 31.719999, unknown, unknown
, , , , , , , , , , -131.35, -62.01, -0.000099, -0.000000, 1.010000, 0, 28, -1.200000, -57.900002, 31.379999, unknown, unknown
, , , , , , , , , , -122.07, -64.45, -0.000098, -0.000000, -0.270000, -3, 28, -2.250000, -58.799999, 31.580000, unknown, unknown
, , , , , , , , , , -150.39, -56.64, -0.000100, 0.000000, -3.910000, 2, 28, -3.600000, -58.650002, 31.580000, unknown, unknown
, , , , , , , , , , -132.32, -58.59, -0.000100, -0.000000, 1.850000, -1, 28, -2.850000, -58.650002, 31.379999, unknown, unknown
, , , , , , , , , , -139.16, -48.83, -0.000100, -0.000000, -0.970000, 2, 28, -3.000000, -58.500000, 31.379999, unknown, unknown
, , , , , , , , , , -136.72, -59.57, -0.000099, -0.000000, -3.360000, 1, 27, -3.600000, -60.450001, 31.379999, unknown, unknown
, , , , , , , , , , -139.65, -49.32, -0.000100, -0.000000, -1.070000, -3, 29, -2.250000, -58.049999, 31.580000, unknown, unknown
, , , , , , , , , , -139.65, -53.71, -0.000100, -0.000000, 0.080000, -1, 27, -2.400000, -58.950001, 31.670000, unknown, unknown
, , , , , , , , , , -152.83, -49.80, -0.000101, -0.000000, -0.210000, 1, 28, -2.250000, -59.099998, 31.580000, unknown, unknown
, , , , , , , , , , -132.32, -53.22, -0.000099, -0.000000, 2.780000, 0, 29, -2.400000, -59.400002, 31.530001, unknown, unknown
, , , , , , , , , , -135.74, -52.73, -0.000099, -0.000000, -1.440000, 0, 29, -2.850000, -58.950001, 31.379999, unknown, unknown
, , , , , , , , , , -142.58, -48.34, -0.000100, -0.000000, 2.050000, 0, 26, -3.000000, -58.500000, 31.719999, unknown, unknown
, , , , , , , , , , -142.58, -42.97, -0.000098, -0.000000, -0.610000, 0, 27, -3.750000, -58.799999, 31.379999, unknown, unknown
, , , , , , , , , , -132.81, -58.59, -0.000101, -0.000000, -1.660000, 0, 26, -2.400000, -58.950001, 31.530001, unknown, unknown
