aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
, , , , , , , , , , 59.966, , 0.000000, 0.000000, 59.966000, 0, 6, 0.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , output_Hz, , 0.000000, 0.000000, 59.966000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 0.0, , 0.000000, 0.000000, 0.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 100.0, , 0.000000, 0.000000, 100.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 100.0, , 0.000000, 0.000000, 100.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 80.0, , 0.000000, 0.000000, 80.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 71.429, , 0.000000, 0.000000, 71.429001, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 75.0, , 0.000000, 0.000000, 75.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 70.0, , 0.000000, 0.000000, 70.000000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 66.667, , 0.000000, 0.000000, 66.667000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 69.231, , 0.000000, 0.000000, 69.231003, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 66.667, , 0.000000, 0.000000, 66.667000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 64.706, , 0.000000, 0.000000, 64.706001, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , 66.667, , 0.000000, 0.000000, 66.667000, 6, 6, 6.000000, 0.000000, 0.000000, unknown, unknown
