aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
, , , , , , , , , , aX, aY, 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
, , , , , , , , , , -141.11, -32.71, -0.000100, 0.000000, -1.700000, 2, 26, -1.200000, -58.950001, 31.580000, unknown, unknown
, , , , , , , , , , -142.09, -56.15, -0.000100, -0.000000, -1.370000, -1, 25, -1.500000, -58.500000, 31.580000, unknown, unknown
, , , , , , , , , , -146.97, -58.11, -0.000100, 0.000000, -3.960000, 1, 25, -1.500000, -59.549999, 31.480000, unknown, unknown
, , , , , , , , , , -136.72, -64.45, -0.000099, -0.000000, -2.680000, 1, 25, -1.650000, -58.200001, 31.480000, unknown, unknown
, , , , , , , , , , -141.60, -49.80, -0.000099, -0.000000, 0.510000, 1, 25, -1.050000, -58.799999, 31.379999, unknown, unknown
, , , , , , , , , , -130.37, -52.25, -0.000099, -0.000000, -3.010000, 0, 26, -2.100000, -58.200001, 31.670000, unknown, unknown
, , , , , , , , , , -139.65, -55.18, -0.000100, -0.000000, -4.190000, 0, 27, -2.400000, -58.200001, 31.480000, unknown, unknown
, , , , , , , , , , -132.81, -45.90, -0.000100, -0.000000, -3.580000, 0, 26, -2.850000, -58.650002, 31.530001, unknown, unknown
, , , , , , , , , , -133.30, -56.64, -0.000100, -0.000000, 0.850000, 0, 25, -0.150000, -58.200001, 31.530001, unknown, unknown
, , , , , , , , , , -129.88, -41.99, -0.000100, -0.000000, 0.650000, 1, 26, -1.800000, -59.099998, 31.770000, unknown, unknown
, , , , , , , , , , -125.98, -54.20, -0.000099, 0.000000, -0.040000, -1, 25, -0.750000, -59.849998, 31.719999, unknown, unknown
, , , , , , , , , , -128.91, -33.20, -0.000099, -0.000000, 1.640000, 0, 25, -0.300000, -58.500000, 31.530001, unknown, unknown
, , , , , , , , , , -132.32, -41.50, -0.000101, 0.000000, -6.100000, 0, 26, -1.650000, -58.650002, 31.340000, unknown, unknown
, , , , , , , , , , -139.16, -41.02, -0.000098, 0.000000, -2.720000, 0, 25, -0.300000, -59.549999, 31.670000, unknown, unknown
, , , , , , , , , , -126.95, -65.92, -0.000099, -0.000000, 0.740000, -2, 26, -2.100000, -58.950001, 31.860001, unknown, unknown
, , , , , , , , , , -130.86, -47.85, -0.000099, 0.000000, -2.120000, 2, 24, -1.650000, -59.400002, 31.719999, unknown, unknown
, , , , , , , , , , -137.21, -59.08, -0.000100, -0.000000, 0.200000, -3, 25, -1.050000, -58.799999, 31.379999, unknown, unknown
